"st_abb","st_code","county_name","fips","zipcode","ym","tavg"
"FL",12,"Alachua",12001,32601,201901,13.316
"FL",12,"Alachua",12001,32603,201901,13.274
"FL",12,"Alachua",12001,32605,201901,13.219
"FL",12,"Alachua",12001,32606,201901,13.07
"FL",12,"Alachua",12001,32607,201901,13.139
"FL",12,"Alachua",12001,32608,201901,13.174
"FL",12,"Alachua",12001,32609,201901,13.071
"FL",12,"Alachua",12001,32612,201901,13.267
"FL",12,"Alachua",12001,32615,201901,12.824
"FL",12,"Alachua",12001,32616,201901,12.826
"FL",12,"Alachua",12001,32618,201901,13.072
"FL",12,"Alachua",12001,32631,201901,13.106
"FL",12,"Alachua",12001,32640,201901,13.273
"FL",12,"Alachua",12001,32641,201901,13.366
"FL",12,"Alachua",12001,32643,201901,12.623
"FL",12,"Alachua",12001,32653,201901,13.033
"FL",12,"Alachua",12001,32658,201901,12.842
"FL",12,"Alachua",12001,32667,201901,13.271
"FL",12,"Alachua",12001,32669,201901,12.865
"FL",12,"Alachua",12001,32694,201901,12.875
"FL",12,"Baker",12003,32040,201901,12.552
"FL",12,"Baker",12003,32063,201901,12.633
"FL",12,"Baker",12003,32072,201901,12.452
"FL",12,"Baker",12003,32087,201901,12.416
"FL",12,"Bay",12005,32401,201901,11.981
"FL",12,"Bay",12005,32403,201901,11.994
"FL",12,"Bay",12005,32404,201901,11.7
"FL",12,"Bay",12005,32405,201901,11.939
"FL",12,"Bay",12005,32407,201901,11.887
"FL",12,"Bay",12005,32408,201901,11.977
"FL",12,"Bay",12005,32409,201901,11.463
"FL",12,"Bay",12005,32410,201901,11.997
"FL",12,"Bay",12005,32413,201901,11.542
"FL",12,"Bay",12005,32438,201901,11.047
"FL",12,"Bay",12005,32444,201901,11.838
"FL",12,"Bay",12005,32466,201901,11.324
"FL",12,"Bradford",12007,32026,201901,12.82
"FL",12,"Bradford",12007,32044,201901,12.759
"FL",12,"Bradford",12007,32058,201901,12.757
"FL",12,"Bradford",12007,32091,201901,12.675
"FL",12,"Bradford",12007,32622,201901,12.781
"FL",12,"Brevard",12009,32754,201901,15.512
"FL",12,"Brevard",12009,32780,201901,15.963
"FL",12,"Brevard",12009,32796,201901,15.739
"FL",12,"Brevard",12009,32901,201901,16.648
"FL",12,"Brevard",12009,32903,201901,16.899
"FL",12,"Brevard",12009,32904,201901,16.401
"FL",12,"Brevard",12009,32905,201901,16.771
"FL",12,"Brevard",12009,32907,201901,16.35
"FL",12,"Brevard",12009,32908,201901,16.216
"FL",12,"Brevard",12009,32909,201901,16.378
"FL",12,"Brevard",12009,32920,201901,16.631
"FL",12,"Brevard",12009,32922,201901,16.278
"FL",12,"Brevard",12009,32925,201901,16.849
"FL",12,"Brevard",12009,32926,201901,16.054
"FL",12,"Brevard",12009,32927,201901,16.058
"FL",12,"Brevard",12009,32931,201901,16.748
"FL",12,"Brevard",12009,32934,201901,16.386
"FL",12,"Brevard",12009,32935,201901,16.658
"FL",12,"Brevard",12009,32937,201901,16.883
"FL",12,"Brevard",12009,32940,201901,16.157
"FL",12,"Brevard",12009,32948,201901,16.07
"FL",12,"Brevard",12009,32949,201901,16.803
"FL",12,"Brevard",12009,32950,201901,16.845
"FL",12,"Brevard",12009,32951,201901,17.008
"FL",12,"Brevard",12009,32952,201901,16.632
"FL",12,"Brevard",12009,32953,201901,16.266
"FL",12,"Brevard",12009,32955,201901,16.439
"FL",12,"Brevard",12009,32976,201901,16.684
"FL",12,"Broward",12011,33004,201901,19.832
"FL",12,"Broward",12011,33009,201901,19.927
"FL",12,"Broward",12011,33019,201901,19.94
"FL",12,"Broward",12011,33020,201901,19.829
"FL",12,"Broward",12011,33021,201901,19.665
"FL",12,"Broward",12011,33023,201901,19.657
"FL",12,"Broward",12011,33024,201901,19.387
"FL",12,"Broward",12011,33025,201901,19.514
"FL",12,"Broward",12011,33026,201901,19.285
"FL",12,"Broward",12011,33027,201901,19.531
"FL",12,"Broward",12011,33028,201901,19.39
"FL",12,"Broward",12011,33029,201901,19.539
"FL",12,"Broward",12011,33060,201901,19.795
"FL",12,"Broward",12011,33062,201901,19.741
"FL",12,"Broward",12011,33063,201901,19.365
"FL",12,"Broward",12011,33064,201901,19.705
"FL",12,"Broward",12011,33065,201901,19.21
"FL",12,"Broward",12011,33066,201901,19.542
"FL",12,"Broward",12011,33067,201901,19.212
"FL",12,"Broward",12011,33068,201901,19.36
"FL",12,"Broward",12011,33069,201901,19.616
"FL",12,"Broward",12011,33071,201901,19.23
"FL",12,"Broward",12011,33073,201901,19.396
"FL",12,"Broward",12011,33076,201901,19.057
"FL",12,"Broward",12011,33301,201901,19.858
"FL",12,"Broward",12011,33304,201901,19.863
"FL",12,"Broward",12011,33305,201901,19.824
"FL",12,"Broward",12011,33306,201901,19.812
"FL",12,"Broward",12011,33308,201901,19.819
"FL",12,"Broward",12011,33309,201901,19.553
"FL",12,"Broward",12011,33311,201901,19.551
"FL",12,"Broward",12011,33312,201901,19.559
"FL",12,"Broward",12011,33313,201901,19.271
"FL",12,"Broward",12011,33314,201901,19.299
"FL",12,"Broward",12011,33315,201901,19.698
"FL",12,"Broward",12011,33316,201901,19.857
"FL",12,"Broward",12011,33317,201901,19.22
"FL",12,"Broward",12011,33319,201901,19.303
"FL",12,"Broward",12011,33321,201901,19.222
"FL",12,"Broward",12011,33322,201901,19.143
"FL",12,"Broward",12011,33323,201901,19.143
"FL",12,"Broward",12011,33324,201901,19.081
"FL",12,"Broward",12011,33325,201901,19.097
"FL",12,"Broward",12011,33326,201901,19.187
"FL",12,"Broward",12011,33327,201901,19.34
"FL",12,"Broward",12011,33328,201901,19.107
"FL",12,"Broward",12011,33330,201901,19.151
"FL",12,"Broward",12011,33331,201901,19.236
"FL",12,"Broward",12011,33332,201901,19.496
"FL",12,"Broward",12011,33334,201901,19.795
"FL",12,"Broward",12011,33351,201901,19.175
"FL",12,"Broward",12011,33441,201901,19.655
"FL",12,"Broward",12011,33442,201901,19.551
"FL",12,"Calhoun",12013,32421,201901,11.226
"FL",12,"Calhoun",12013,32424,201901,11.411
"FL",12,"Calhoun",12013,32430,201901,11.329
"FL",12,"Calhoun",12013,32449,201901,11.607
"FL",12,"Charlotte",12015,33946,201901,16.936
"FL",12,"Charlotte",12015,33947,201901,16.76
"FL",12,"Charlotte",12015,33948,201901,16.453
"FL",12,"Charlotte",12015,33950,201901,16.39
"FL",12,"Charlotte",12015,33952,201901,16.418
"FL",12,"Charlotte",12015,33953,201901,16.424
"FL",12,"Charlotte",12015,33954,201901,16.257
"FL",12,"Charlotte",12015,33955,201901,16.433
"FL",12,"Charlotte",12015,33980,201901,16.383
"FL",12,"Charlotte",12015,33981,201901,16.605
"FL",12,"Charlotte",12015,33982,201901,16.094
"FL",12,"Charlotte",12015,33983,201901,16.276
"FL",12,"Charlotte",12015,34224,201901,16.727
"FL",12,"Citrus",12017,34428,201901,13.111
"FL",12,"Citrus",12017,34429,201901,13.022
"FL",12,"Citrus",12017,34433,201901,13.289
"FL",12,"Citrus",12017,34434,201901,13.307
"FL",12,"Citrus",12017,34436,201901,13.376
"FL",12,"Citrus",12017,34442,201901,13.237
"FL",12,"Citrus",12017,34445,201901,13.266
"FL",12,"Citrus",12017,34446,201901,13.329
"FL",12,"Citrus",12017,34448,201901,13.258
"FL",12,"Citrus",12017,34450,201901,13.213
"FL",12,"Citrus",12017,34452,201901,13.413
"FL",12,"Citrus",12017,34453,201901,13.234
"FL",12,"Citrus",12017,34461,201901,13.16
"FL",12,"Citrus",12017,34465,201901,13.247
"FL",12,"Clay",12019,32003,201901,13.769
"FL",12,"Clay",12019,32043,201901,13.45
"FL",12,"Clay",12019,32065,201901,13.273
"FL",12,"Clay",12019,32068,201901,12.934
"FL",12,"Clay",12019,32073,201901,13.731
"FL",12,"Clay",12019,32079,201901,13.07
"FL",12,"Clay",12019,32656,201901,12.952
"FL",12,"Collier",12021,34101,201901,17.602
"FL",12,"Collier",12021,34102,201901,17.768
"FL",12,"Collier",12021,34103,201901,17.713
"FL",12,"Collier",12021,34104,201901,17.517
"FL",12,"Collier",12021,34105,201901,17.565
"FL",12,"Collier",12021,34108,201901,17.643
"FL",12,"Collier",12021,34109,201901,17.489
"FL",12,"Collier",12021,34110,201901,17.409
"FL",12,"Collier",12021,34112,201901,17.594
"FL",12,"Collier",12021,34113,201901,17.534
"FL",12,"Collier",12021,34114,201901,17.492
"FL",12,"Collier",12021,34116,201901,17.335
"FL",12,"Collier",12021,34117,201901,17.142
"FL",12,"Collier",12021,34119,201901,17.273
"FL",12,"Collier",12021,34120,201901,16.916
"FL",12,"Collier",12021,34137,201901,17.591
"FL",12,"Collier",12021,34138,201901,17.701
"FL",12,"Collier",12021,34139,201901,17.685
"FL",12,"Collier",12021,34140,201901,17.651
"FL",12,"Collier",12021,34141,201901,17.769
"FL",12,"Collier",12021,34142,201901,16.815
"FL",12,"Collier",12021,34145,201901,17.64
"FL",12,"Columbia",12023,32024,201901,12.229
"FL",12,"Columbia",12023,32025,201901,12.173
"FL",12,"Columbia",12023,32038,201901,12.453
"FL",12,"Columbia",12023,32055,201901,12.059
"FL",12,"Columbia",12023,32061,201901,12.349
"FL",12,"DeSoto",12027,34266,201901,15.804
"FL",12,"DeSoto",12027,34268,201901,15.732
"FL",12,"DeSoto",12027,34269,201901,15.94
"FL",12,"Dixie",12029,32628,201901,12.307
"FL",12,"Dixie",12029,32648,201901,12.355
"FL",12,"Dixie",12029,32680,201901,12.444
"FL",12,"Dixie",12029,32692,201901,12.761
"FL",12,"Duval",12031,32202,201901,13.513
"FL",12,"Duval",12031,32204,201901,13.592
"FL",12,"Duval",12031,32205,201901,13.545
"FL",12,"Duval",12031,32206,201901,13.435
"FL",12,"Duval",12031,32207,201901,13.766
"FL",12,"Duval",12031,32208,201901,13.168
"FL",12,"Duval",12031,32209,201901,13.282
"FL",12,"Duval",12031,32210,201901,13.569
"FL",12,"Duval",12031,32211,201901,13.468
"FL",12,"Duval",12031,32212,201901,14.124
"FL",12,"Duval",12031,32216,201901,13.675
"FL",12,"Duval",12031,32217,201901,13.986
"FL",12,"Duval",12031,32218,201901,12.913
"FL",12,"Duval",12031,32219,201901,12.834
"FL",12,"Duval",12031,32220,201901,13.035
"FL",12,"Duval",12031,32221,201901,13.071
"FL",12,"Duval",12031,32222,201901,13.163
"FL",12,"Duval",12031,32223,201901,14.051
"FL",12,"Duval",12031,32224,201901,13.663
"FL",12,"Duval",12031,32225,201901,13.497
"FL",12,"Duval",12031,32226,201901,13.431
"FL",12,"Duval",12031,32227,201901,13.843
"FL",12,"Duval",12031,32228,201901,13.835
"FL",12,"Duval",12031,32233,201901,13.852
"FL",12,"Duval",12031,32234,201901,12.902
"FL",12,"Duval",12031,32244,201901,13.641
"FL",12,"Duval",12031,32246,201901,13.527
"FL",12,"Duval",12031,32250,201901,13.901
"FL",12,"Duval",12031,32254,201901,13.254
"FL",12,"Duval",12031,32256,201901,13.627
"FL",12,"Duval",12031,32257,201901,13.949
"FL",12,"Duval",12031,32258,201901,13.656
"FL",12,"Duval",12031,32266,201901,13.918
"FL",12,"Duval",12031,32277,201901,13.387
"FL",12,"Escambia",12033,32501,201901,11.418
"FL",12,"Escambia",12033,32502,201901,11.411
"FL",12,"Escambia",12033,32503,201901,11.46
"FL",12,"Escambia",12033,32504,201901,11.502
"FL",12,"Escambia",12033,32505,201901,11.298
"FL",12,"Escambia",12033,32506,201901,11.193
"FL",12,"Escambia",12033,32507,201901,11.301
"FL",12,"Escambia",12033,32508,201901,11.364
"FL",12,"Escambia",12033,32509,201901,11.109
"FL",12,"Escambia",12033,32511,201901,11.273
"FL",12,"Escambia",12033,32514,201901,11.236
"FL",12,"Escambia",12033,32526,201901,11.037
"FL",12,"Escambia",12033,32533,201901,10.884
"FL",12,"Escambia",12033,32534,201901,11.08
"FL",12,"Escambia",12033,32535,201901,10.464
"FL",12,"Escambia",12033,32561,201901,11.492
"FL",12,"Escambia",12033,32568,201901,10.558
"FL",12,"Escambia",12033,32577,201901,10.618
"FL",12,"Flagler",12035,32110,201901,13.889
"FL",12,"Flagler",12035,32136,201901,14.125
"FL",12,"Flagler",12035,32137,201901,14.279
"FL",12,"Flagler",12035,32164,201901,13.952
"FL",12,"Flagler",12035,32174,201901,14.433
"FL",12,"Franklin",12037,32320,201901,11.742
"FL",12,"Franklin",12037,32322,201901,11.939
"FL",12,"Franklin",12037,32323,201901,11.946
"FL",12,"Gadsden",12039,32324,201901,11.124
"FL",12,"Gadsden",12039,32330,201901,11.002
"FL",12,"Gadsden",12039,32332,201901,11.011
"FL",12,"Gadsden",12039,32333,201901,11.14
"FL",12,"Gadsden",12039,32343,201901,11.144
"FL",12,"Gadsden",12039,32351,201901,11.066
"FL",12,"Gadsden",12039,32352,201901,11.065
"FL",12,"Gilchrist",12041,32619,201901,12.332
"FL",12,"Gilchrist",12041,32693,201901,12.615
"FL",12,"Glades",12043,33471,201901,16.272
"FL",12,"Glades",12043,33944,201901,16.168
"FL",12,"Glades",12043,34974,201901,16.352
"FL",12,"Gulf",12045,32465,201901,12.014
"FL",12,"Hamilton",12047,32052,201901,11.531
"FL",12,"Hamilton",12047,32053,201901,11.406
"FL",12,"Hamilton",12047,32096,201901,11.847
"FL",12,"Hardee",12049,33834,201901,15.536
"FL",12,"Hardee",12049,33865,201901,15.657
"FL",12,"Hardee",12049,33873,201901,15.657
"FL",12,"Hardee",12049,33890,201901,15.783
"FL",12,"Hendry",12051,33440,201901,16.301
"FL",12,"Hendry",12051,33930,201901,16.516
"FL",12,"Hendry",12051,33935,201901,16.17
"FL",12,"Hernando",12053,34601,201901,13.807
"FL",12,"Hernando",12053,34602,201901,14.165
"FL",12,"Hernando",12053,34604,201901,13.801
"FL",12,"Hernando",12053,34606,201901,13.833
"FL",12,"Hernando",12053,34607,201901,13.85
"FL",12,"Hernando",12053,34608,201901,13.747
"FL",12,"Hernando",12053,34609,201901,13.653
"FL",12,"Hernando",12053,34613,201901,13.709
"FL",12,"Hernando",12053,34614,201901,13.617
"FL",12,"Hernando",12053,34661,201901,13.605
"FL",12,"Highlands",12055,33825,201901,15.939
"FL",12,"Highlands",12055,33852,201901,15.986
"FL",12,"Highlands",12055,33857,201901,16.147
"FL",12,"Highlands",12055,33870,201901,16.122
"FL",12,"Highlands",12055,33872,201901,15.905
"FL",12,"Highlands",12055,33875,201901,16.076
"FL",12,"Highlands",12055,33876,201901,16.308
"FL",12,"Highlands",12055,33960,201901,15.95
"FL",12,"Hillsborough",12057,33503,201901,15.265
"FL",12,"Hillsborough",12057,33510,201901,14.823
"FL",12,"Hillsborough",12057,33511,201901,15.005
"FL",12,"Hillsborough",12057,33527,201901,15.064
"FL",12,"Hillsborough",12057,33534,201901,15.566
"FL",12,"Hillsborough",12057,33547,201901,15.293
"FL",12,"Hillsborough",12057,33548,201901,14.548
"FL",12,"Hillsborough",12057,33549,201901,14.509
"FL",12,"Hillsborough",12057,33556,201901,14.616
"FL",12,"Hillsborough",12057,33558,201901,14.478
"FL",12,"Hillsborough",12057,33559,201901,14.39
"FL",12,"Hillsborough",12057,33563,201901,15.599
"FL",12,"Hillsborough",12057,33565,201901,15.03
"FL",12,"Hillsborough",12057,33566,201901,15.571
"FL",12,"Hillsborough",12057,33567,201901,15.257
"FL",12,"Hillsborough",12057,33569,201901,15.157
